Date       Time,Pres,Depth,temp-.01,temp0,temp5,Conduct,TDS,salinity,spec_grav
2017-07-22 11:47:21,7316.28,64.163,12.56,12.62,12.57,36081,19485,22.42,1.018
2017-07-22 11:47:27,7318.61,64.187,12.56,12.62,12.57,36081,19486,22.42,1.018
2017-07-22 11:47:33,7318.08,64.181,12.56,12.62,12.63,36091,19490,22.43,1.018
2017-07-22 11:47:39,7317.81,64.178,12.56,12.62,12.63,36091,19493,22.43,1.018
2017-07-22 11:47:45,7317.55,64.176,12.56,12.62,12.63,36111,19499,22.44,1.018
2017-07-22 11:47:52,7317.28,64.173,12.56,12.62,12.57,36121,19505,22.44,1.018
2017-07-22 11:47:58,7317.02,64.170,12.62,12.62,12.63,36121,19506,22.45,1.018
2017-07-22 11:48:04,7317.92,64.179,12.56,12.62,12.57,36131,19512,22.45,1.018
2017-07-22 11:48:10,7316.75,64.168,12.56,12.62,12.63,36131,19515,22.46,1.018
2017-07-22 11:48:16,7317.38,64.174,12.56,12.62,12.57,36141,19520,22.46,1.018
2017-07-22 11:48:22,7317.12,64.171,12.56,12.62,12.57,36131,19515,22.46,1.018
2017-07-22 11:48:29,7318.02,64.181,12.56,12.62,12.63,36121,19506,22.45,1.018
2017-07-22 11:48:35,7317.12,64.171,12.56,12.62,12.63,36131,19512,22.45,1.018
2017-07-22 11:48:41,7317.22,64.172,12.56,12.62,12.63,36131,19512,22.45,1.018
2017-07-22 11:48:47,7317.22,64.172,12.56,12.62,12.57,36151,19521,22.46,1.018
2017-07-22 11:48:53,7317.85,64.179,12.56,12.62,12.57,36151,19524,22.47,1.018
2017-07-22 11:48:59,7317.85,64.179,12.56,12.62,12.63,36151,19526,22.47,1.018
2017-07-22 11:49:06,7317.32,64.173,12.56,12.62,12.57,36161,19530,22.48,1.018
2017-07-22 11:49:12,7318.48,64.185,12.56,12.62,12.63,36161,19530,22.48,1.018
2017-07-22 11:49:18,7317.95,64.180,12.56,12.62,12.63,36171,19535,22.48,1.018
2017-07-22 11:49:24,7317.95,64.180,12.56,12.62,12.63,36181,19541,22.49,1.018
2017-07-22 11:49:30,7316.26,64.163,12.56,12.62,12.57,36181,19539,22.49,1.018
