Date       Time,Pres,Depth M,Depth ft,temp-.01,temp0c,temp0f,temp3.8,Conduct,TDS,salinity,spec_grav
2017-08-07 10:36:12,9060.11,-82.024,-269.107,13.12,13.19,55.74,13.01,31200,16849,19.14,1.016
2017-08-07 10:36:17,9052.31,-81.944,-268.846,13.06,13.19,55.74,13.01,31180,16840,19.13,1.016
2017-08-07 10:36:21,9060.11,-82.024,-269.107,13.06,13.19,55.74,13.01,31210,16854,19.15,1.016
2017-08-07 10:36:25,9059.78,-82.020,-269.096,13.06,13.12,55.62,13.01,31260,16885,19.18,1.016
2017-08-07 10:36:29,9059.45,-82.017,-269.085,13.06,13.12,55.62,13.01,31250,16879,19.18,1.016
2017-08-07 10:36:34,9057.95,-82.002,-269.035,13.06,13.12,55.62,13.01,31260,16882,19.18,1.016
2017-08-07 10:36:38,9055.63,-81.978,-268.957,13.06,13.19,55.74,13.01,31210,16854,19.15,1.016
2017-08-07 10:36:42,9056.46,-81.987,-268.985,13.06,13.12,55.62,13.01,31260,16886,19.18,1.016
2017-08-07 10:36:47,9054.97,-81.971,-268.935,13.06,13.12,55.62,13.01,31270,16889,19.19,1.016
2017-08-07 10:36:51,9056.13,-81.983,-268.974,13.12,13.12,55.62,13.01,31270,16887,19.19,1.016
2017-08-07 10:36:55,9056.96,-81.992,-269.002,13.06,13.12,55.62,13.01,31280,16891,19.19,1.016
2017-08-07 10:36:59,9058.95,-82.012,-269.068,13.06,13.12,55.62,13.01,31280,16892,19.19,1.016
2017-08-07 10:37:04,9051.98,-81.941,-268.835,13.06,13.12,55.62,13.01,31280,16892,19.19,1.016
2017-08-07 10:37:08,9059.78,-82.021,-269.096,13.06,13.12,55.62,13.01,31270,16887,19.19,1.016
2017-08-07 10:37:13,9055.13,-81.973,-268.941,13.06,13.12,55.62,13.01,31280,16896,19.20,1.016
2017-08-07 10:37:17,9050.48,-81.926,-268.785,13.06,13.12,55.62,13.01,31280,16894,19.20,1.016
2017-08-07 10:37:21,9054.80,-81.970,-268.930,13.06,13.12,55.62,13.01,31280,16894,19.19,1.016
2017-08-07 10:37:25,9054.47,-81.966,-268.919,13.06,13.12,55.62,13.01,31280,16895,19.20,1.016
2017-08-07 10:37:30,9052.15,-81.943,-268.841,13.06,13.19,55.74,13.01,31230,16869,19.17,1.016
2017-08-07 10:37:34,9056.46,-81.987,-268.985,13.06,13.12,55.62,13.01,31280,16892,19.19,1.016
2017-08-07 10:37:38,9052.98,-81.951,-268.869,13.06,13.12,55.62,13.01,31280,16894,19.19,1.016
2017-08-07 10:37:43,9057.62,-81.999,-269.024,13.06,13.19,55.74,13.01,31240,16873,19.17,1.016
2017-08-07 10:37:47,9056.13,-81.983,-268.974,13.06,13.12,55.62,13.01,31290,16897,19.20,1.016
2017-08-07 10:37:51,9056.46,-81.987,-268.985,13.06,13.19,55.74,13.01,31240,16875,19.17,1.016
2017-08-07 10:37:55,9052.31,-81.944,-268.846,13.06,13.12,55.62,13.01,31290,16900,19.20,1.016
2017-08-07 10:38:00,9054.64,-81.968,-268.924,13.06,13.19,55.74,13.01,31230,16869,19.17,1.016
2017-08-07 10:38:04,9055.47,-81.977,-268.952,13.06,13.19,55.74,13.01,31220,16863,19.16,1.016
2017-08-07 10:38:09,9055.47,-81.977,-268.952,13.06,13.19,55.74,13.01,31230,16868,19.16,1.016
2017-08-07 10:38:13,9056.63,-81.988,-268.991,13.06,13.19,55.74,13.01,31230,16866,19.16,1.016
2017-08-07 10:38:17,9053.97,-81.961,-268.902,13.06,13.19,55.74,13.01,31230,16865,19.16,1.016
2017-08-07 10:38:21,9053.97,-81.961,-268.902,13.06,13.19,55.74,13.01,31220,16862,19.16,1.016
2017-08-07 10:38:25,9055.97,-81.982,-268.969,13.06,13.19,55.74,13.01,31210,16857,19.15,1.016
2017-08-07 10:38:29,9053.64,-81.958,-268.891,13.06,13.19,55.74,13.01,31220,16862,19.16,1.016
